home,away,score,year
Ростов,Краснодар,1 : 1,2019/2020
Ростов,ЦСКА,3 : 2,2019/2020
Ростов,Динамо М,3 : 0,2019/2020
Ростов,Спартак М,2 : 2,2019/2020
Ростов,Арсенал,2 : 1,2019/2020
Ростов,Уфа,1 : 2,2019/2020
Ростов,Рубин,2 : 1,2019/2020
Ростов,Урал,0 : 0,2019/2020
Ростов,Сочи,2 : 0,2019/2020
Ростов,Ахмат,2 : 1,2019/2020
Ростов,Тамбов,1 : 2,2019/2020
Ростов,Крылья Советов,1 : 0,2019/2020
Ростов,Оренбург,2 : 1,2019/2020
Динамо М,Зенит,0 : 2,2019/2020
Динамо М,Локомотив М,1 : 2,2019/2020
Динамо М,Краснодар,1 : 1,2019/2020
Динамо М,ЦСКА,0 : 0,2019/2020
Динамо М,Ростов,2 : 1,2019/2020
Динамо М,Спартак М,0 : 2,2019/2020
Динамо М,Арсенал,0 : 1,2019/2020
Динамо М,Уфа,0 : 0,2019/2020
Динамо М,Рубин,0 : 1,2019/2020
Динамо М,Урал,2 : 0,2019/2020
Динамо М,Сочи,2 : 3,2019/2020
Динамо М,Ахмат,1 : 1,2019/2020
Динамо М,Тамбов,1 : 0,2019/2020
Динамо М,Крылья Советов,2 : 0,2019/2020
Динамо М,Оренбург,0 : 1,2019/2020
Спартак М,Зенит,0 : 1,2019/2020
Спартак М,Локомотив М,1 : 1,2019/2020
Спартак М,Краснодар,0 : 1,2019/2020
Спартак М,ЦСКА,2 : 1,2019/2020
Спартак М,Ростов,1 : 4,2019/2020
Спартак М,Динамо М,0 : 0,2019/2020
Спартак М,Арсенал,0 : 1,2019/2020
Спартак М,Уфа,0 : 0,2019/2020
Спартак М,Рубин,0 : 0,2019/2020
Спартак М,Урал,1 : 2,2019/2020
Спартак М,Сочи,1 : 0,2019/2020
Спартак М,Ахмат,3 : 0,2019/2020
Спартак М,Тамбов,2 : 3,2019/2020
Спартак М,Крылья Советов,2 : 0,2019/2020
Спартак М,Оренбург,1 : 2,2019/2020
Арсенал,Зенит,0 : 1,2019/2020
Арсенал,Локомотив М,4 : 0,2019/2020
Арсенал,Краснодар,1 : 2,2019/2020
Арсенал,ЦСКА,1 : 2,2019/2020
Арсенал,Ростов,2 : 3,2019/2020
Арсенал,Динамо М,1 : 1,2019/2020
Арсенал,Спартак М,2 : 3,2019/2020
Арсенал,Уфа,1 : 0,2019/2020
Арсенал,Рубин,0 : 1,2019/2020
Арсенал,Урал,1 : 1,2019/2020
Арсенал,Сочи,1 : 1,2019/2020
